source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,b,l
2954446503284027648,78.43648759167127,0.021951826029162316,-29.295379663036407,0.026649310311694922,1.7484707140787354,0.03127514698423736,10.440882,0.38161373,,,NOT_AVAILABLE,7505.3335,0.8345,-32.95907047707223,231.7794200533696
3383492020801872640,97.46063127335394,0.04115094105191476,24.23873137705424,0.04149876760333332,0.9732001071779682,0.053158585354753256,11.080182,0.3834486,,,NOT_AVAILABLE,7505.3335,,6.363967823561597,188.91515878524834
5681205000518444160,137.95749685282004,0.0708037118689207,-17.612984415078756,0.0737838152479589,3.509213919704401,0.1522304760707595,9.6346035,0.3820696,,,NOT_AVAILABLE,7505.3335,0.616,20.472629646349457,246.5869011707266
1807136974762038528,299.8000186330089,0.024091905242414644,14.027658280886953,0.019096072780906102,3.1936250156092405,0.03796003096305582,9.909871,0.37724686,-9.711166155016283,2.0899518484527713,NOT_AVAILABLE,7505.3335,,-8.109452344601072,53.30351595337369
2910132130236312064,91.64310861252535,0.02099022974325977,-27.07750111799773,0.028142101587869582,1.9549770264419644,0.03451374697975753,10.298314,0.3820734,,,NOT_AVAILABLE,7505.3335,0.6957,-21.20478616865922,233.40886277472453
5106450346663956224,48.881802404194794,0.04062599174761022,-16.554918731601493,0.028857680580673954,4.97707247946921,0.054482583531899234,8.833103,0.38935947,,,NOT_AVAILABLE,7505.3335,,-55.07465611331683,202.8807586852528
5775353535507250432,254.48885174703491,0.02667686811030359,-80.45748991347887,0.031013092627798514,2.100310743849272,0.03623201026742257,9.66028,0.3819847,,,NOT_AVAILABLE,7505.3926,0.7575,-22.306829781689377,312.003428975253
5597849649640914560,121.15986578900092,0.023108583166656104,-28.21740032807179,0.030021944110237,1.558812229053145,0.036100705768718065,11.291603,0.38757133,,,NOT_AVAILABLE,7505.3926,0.6702,1.756232086356637,246.10861547101666
5698780693898369024,121.40333979592087,0.02901396654181432,-24.121248014428797,0.030267488833695864,0.8753263015120036,0.045006234461775034,11.319108,0.38272858,,,NOT_AVAILABLE,7505.3926,,4.127855399757013,242.75707958006595
3425007105965572992,92.59766730679209,0.05159441027899341,22.305222979490804,0.04823825188249858,2.7846732697116074,0.053724278522156714,10.129282,0.38184166,14.300765409621377,3.4132632045599935,NOT_AVAILABLE,7505.3926,,1.5116073820530875,188.53320610275128
1034049973929212672,127.7915808578295,0.0337410833069807,56.77277224499749,0.02688139979352432,1.531641551966355,0.04587234980367269,10.979631,0.38202,,,NOT_AVAILABLE,7505.3926,0.923,35.94512921322327,160.79448478394414
5259064141158157184,152.7301088899751,0.015151090159187848,-56.2257091585939,0.013635891471187808,0.6023828490112024,0.016616224764574257,13.230316,0.4677496,,,NOT_AVAILABLE,7505.5,0.7495,-0.04220563164261289,281.93603021465475
888220131830742272,105.28526880800369,0.0276076648421794,30.445057179151384,0.02695529829788807,0.2918627503186517,0.03390430367991121,13.272133,0.4677477,,,NOT_AVAILABLE,7505.5,,15.279473687522165,186.1725623586705
3519903583733447296,185.0404722551584,0.05381471567533233,-18.172727378255804,0.06546987018669458,0.6591049814816194,0.05803163488419374,11.962822,0.4698639,,,NOT_AVAILABLE,7505.5,,44.06873840429189,292.5680472888628
5251229910348823168,156.76142056093943,0.023306871479058116,-65.84248100162371,0.023140509670113257,0.8396741502107979,0.024077733038706712,12.542514,0.46745872,,,NOT_AVAILABLE,7505.5,0.7543,-6.993304562302177,288.87281603112194
3666412610485876480,213.94683292880003,0.055940715463155925,1.869474345928429,0.053620561792202065,0.1493890343714356,0.0665150338228854,16.289265,0.46573067,,,NOT_AVAILABLE,7505.5,0.7487,57.652834146174584,345.1603473978708
588351592601505408,145.27101118317032,0.04793859288227876,9.20878841460318,0.03894218134834637,0.872644794514961,0.05526850046971539,12.655828,0.46859837,,,NOT_AVAILABLE,7505.5,0.558,41.71988111720874,225.40014547834446
5926480996466356992,257.46858668674184,0.039720216034183735,-50.015956031065414,0.035635759864413086,0.9964116907008537,0.03978997229691634,12.449357,0.46753025,,,NOT_AVAILABLE,7505.5,0.4602,-5.979156753152364,338.64164920210817
2929272772257025664,107.2085864009431,0.015237167243735224,-20.561774806519395,0.016630592453069363,0.4065400342490671,0.021768167792380496,13.99392,0.46996307,,,NOT_AVAILABLE,7505.5,1.137,-5.564029217545967,233.21067585943388
6153262519560046720,190.22062908279707,0.03084238301713989,-38.72899948020725,0.0252012452082012,0.20406960787204576,0.03750882484656371,14.867446,0.46446896,,,NOT_AVAILABLE,7505.5,0.7885,24.09653187149266,300.6770175467912
6109874996158382080,213.48042814502622,0.06386719918977038,-41.988835159351154,0.03839866938816742,0.9706507865248032,0.05468604224624298,12.24752,0.46772575,-43.74536932628572,10.591000808335437,NOT_AVAILABLE,7505.5,0.988,18.305118361228327,318.9369510446277
5309192869144958464,146.5289328583116,0.023356932103236687,-53.9602047847444,0.022945620684427466,0.6518980209007944,0.02637454566814862,12.909551,0.4676504,,,NOT_AVAILABLE,7505.5,1.057,-0.40984833554701633,277.74434227471755
4533478757075218560,285.87235414491613,0.01668146252930427,23.90604251710122,0.023198580962485917,1.3406983552993275,0.029384053740228552,11.800849,0.46606636,,,NOT_AVAILABLE,7505.5,0.395,8.164572983042392,55.66787627941231
5615847108798687488,114.5750223205349,0.018419560899555727,-22.75001913872626,0.019719679937241465,0.4235246387255057,0.026404622299156872,14.230945,0.47022533,,,NOT_AVAILABLE,7505.5,0.6955,-0.5545652198411724,238.37245114849622
5824870179140763392,230.59748071826073,0.00912166456437434,-65.99567614996664,0.013281063513869705,0.48807421072476415,0.017419868465818816,13.666768,0.46811295,,,NOT_AVAILABLE,7505.5,1.047,-7.4829213157503505,317.47599525023594
5520879295901534208,123.24052383614317,0.0285294381191355,-44.40369182010539,0.0352353372487032,1.1478825412667002,0.038622512183340126,12.013412,0.46893597,26.867413130461777,9.65858148817374,NOT_AVAILABLE,7505.5,0.9287,-5.602137384676148,260.6393585425971
5864664769122283520,206.6171657495952,0.01376939301371214,-62.95678891822522,0.015570351471718454,0.6086105324687028,0.022772864303494577,13.681589,0.46840954,,,NOT_AVAILABLE,7505.5,0.6715,-0.7502165733234992,309.1397569554947
