source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,b,l
4150344515828601600,270.59452562764596,0.056081568551950636,-12.812549643043363,0.052446591069127954,0.29876054369604543,0.05404270727175341,15.4941225,2.671136,,,NOT_AVAILABLE,3229.0,2.7127,4.774548289156628,15.904114361567643
5877877806538281216,223.26840354813095,0.032035297372909194,-60.80155348149062,0.031458184548284134,0.377257847696648,0.04155501880652752,13.91387,2.6707563,,,NOT_AVAILABLE,3229.0,2.6657,-1.3524511597634308,317.2317312101272
4154774512581239168,279.4563076340222,0.057756237781960366,-10.715994194003036,0.05710580351681183,0.3586233792020636,0.06473897500742251,16.232634,2.6702223,,,NOT_AVAILABLE,3229.0,,-1.8840073648408935,21.851594908126796
4313477509879163264,286.2900866955915,0.0626120993674334,11.743570723819888,0.07792945396374679,0.19428596513603638,0.08662610302055564,16.906338,2.6726418,,,NOT_AVAILABLE,3229.0,2.869,2.330601085006782,44.93872047161254
5942082825960144768,247.71994326581566,0.05845292501108573,-47.14620174522132,0.03452630758533772,0.3952846373737613,0.06073133439048469,14.917254,2.6700954,,,NOT_AVAILABLE,3229.0,2.7777,0.8089748357213582,336.7276421618375
6019677491812955648,251.92556200404726,0.0641053293101718,-36.5083456211747,0.04912914231382255,0.18987973115808487,0.06741371900506535,16.189775,2.6718225,,,NOT_AVAILABLE,3229.0,2.7578,5.534206842855742,346.77385265361164
5891589644221296128,218.27002679467765,0.043820104995339476,-57.66181052971997,0.0637762878483988,0.11011828645302506,0.06980821029705697,16.253819,2.6700506,,,NOT_AVAILABLE,3229.0,2.409,2.564769240497019,316.2150512081401
4042277636784483456,269.4694922890082,0.0869408560614991,-34.558996362465436,0.08491530573024755,0.04183965760823919,0.0780508818000436,15.089584,2.6696672,,,NOT_AVAILABLE,3229.0,,-5.101791534010627,356.4786981452479
5953190332929790080,258.58103017435025,0.06335972850215806,-43.639738679248914,0.050198741511331677,0.2961907742053446,0.06634771948028748,15.548786,2.6714535,,,NOT_AVAILABLE,3229.0,2.7905,-2.8578109758803976,344.2706953555619
4314525447536317056,292.1553454879942,0.05616368271417726,10.066083573702832,0.047831787591938464,0.0316832259735429,0.0689771297790741,15.989005,2.6696434,,,NOT_AVAILABLE,3229.0,,-3.546036582126083,46.14161216021169
